,page_id,degree_centrality,eigenvector_centrality,closeness_centrality,unweighted_eigenvector_centrality_x,unweighted_eigenvector_centrality_y,week,Unnamed: 0
25523,230537773698519,4e-05,1.8230465440904765e-07,0.2291209816224533,2.105319503683498e-05,2.1053195036841115e-05,Full,12279.0
25524,302825219754295,3.0000000000000008e-05,2.2526682900090213e-06,0.2343856437749364,4.5075752311181936e-05,4.5075752311188746e-05,Full,12280.0
25525,9583477694,3.0000000000000008e-05,4.944231016167101e-07,0.2199068547321382,1.9748400798174463e-05,1.9748400798206443e-05,Full,12281.0
25526,131507887215985,3.0000000000000008e-05,1.1349623267017111e-05,0.2295658622948627,8.678509513666691e-05,8.678509513667957e-05,Full,12282.0
25527,297176423632270,3.0000000000000008e-05,5.728890604517205e-06,0.2378158633636797,5.3478131290398846e-05,5.347813129039357e-05,Full,12283.0
25528,155840847453,3.0000000000000008e-05,1.2303154264171404e-05,0.2265951036786133,9.837771294660442e-05,9.837771294658152e-05,Full,12284.0
25529,154672041747,3.0000000000000008e-05,1.9009209637601884e-06,0.2411943711141766,5.275238055893207e-05,5.275238055892391e-05,Full,12285.0
25530,163121917034901,1e-05,1.245894522944174e-05,0.2319304385952344,2.3921224462879324e-05,2.39212244628826e-05,Full,12286.0
25531,388117401328419,1e-05,1.0431700656390557e-07,0.2168187833407035,8.690955794972802e-06,8.69095579496534e-06,Full,12287.0
25532,815662028528813,1e-05,1.740253795990604e-07,0.2208014453808431,1.2180970385150105e-05,1.2180970385161482e-05,Full,12288.0
25533,114352081949970,1e-05,4.086151743860019e-06,0.2148900953106019,4.7793075469806526e-05,4.779307546979321e-05,Full,12289.0
25534,83040292558,1e-05,3.958574176388149e-06,0.2126273010998871,4.728091665742535e-05,4.72809166574169e-05,Full,12290.0
25535,101877489873438,0.0,2.355927963387411e-17,0.0,1.2985990613830329e-17,4.958949946269321e-18,Full,12291.0
25536,396523657071573,0.0,3.6071880313985546e-18,0.0,2.6102835775027514e-20,3.2597321540336893e-18,Full,12292.0
25537,362232687500262,0.0,1.6432061027839496e-17,0.0,1.0649929562948305e-17,1.1276777446063649e-17,Full,12293.0
25538,171054229642299,0.0,6.786453188937297e-18,0.0,7.633242682343444e-18,2.235229218134365e-17,Full,12294.0
25539,516676641828189,0.0,1.8475505027745266e-18,0.0,1.125917402914405e-17,1.0957997616837249e-17,Full,12295.0
25540,127331977364992,0.0,7.780900780436273e-18,0.0,8.11959305417911e-18,2.253829954958657e-17,Full,12296.0
25541,6683731553,0.0,6.708388556215018e-18,0.0,9.48148007774859e-19,8.489295192823463e-18,Full,12297.0
25542,15704546335,0.08621,0.4350240628256535,0.3614454179581168,0.4166202376489953,0.4166202376489964,Full,12298.0
25543,153080620724,0.0827,0.4004496761765408,0.3589408695180797,0.3906844958151581,0.3906844958151576,Full,12299.0
25544,346937065399354,0.07049,0.0383589772062082,0.3560942389132088,0.0621612943007957,0.0621612943007963,Full,12300.0
25545,341163402640457,0.0535799999999999,0.0045618991056165,0.3517751906462768,0.0576406279492667,0.0576406279492669,Full,12301.0
25546,18468761129,0.05111,0.0074378786510756,0.3505960119069407,0.0474810018566183,0.0474810018566188,Full,12302.0
25547,889307941125736,0.0488399999999999,0.0084783529854291,0.3490211904996923,0.0406574564507172,0.0406574564507177,Full,12303.0
25548,354522044588660,0.04535,0.0034927543074078,0.3494107820885806,0.0460411645219034,0.0460411645219039,Full,12304.0
25549,199098633470668,0.04503,0.0026858301652885,0.3485853235044454,0.0308652197349318,0.0308652197349323,Full,12305.0
25550,133961323610549,0.04128,0.2747811865986161,0.343643254711446,0.2140511468129117,0.2140511468129116,Full,12306.0
25551,205344452828349,0.04,0.0019777673515754,0.3476285831032798,0.0335224540104548,0.0335224540104552,Full,12307.0
25552,21898300328,0.03814,0.0025031222562833,0.3473337748003255,0.0430547553882333,0.0430547553882336,Full,12308.0
25553,131201286936061,0.03729,0.0312000893565394,0.343664813597546,0.1577477417677915,0.1577477417677915,Full,12309.0
25554,5550296508,0.03718,0.0142050624360858,0.3473557992464658,0.0530605449860424,0.0530605449860426,Full,12310.0
25555,179035672287016,0.03605,0.0575976629842705,0.3417432814780042,0.1727772816149594,0.1727772816149594,Full,12311.0
25556,86680728811,0.03596,0.0149052279520942,0.3470751966129321,0.0627614657790333,0.0627614657790336,Full,12312.0
25557,95475020353,0.03349,0.5759877604834828,0.3432664115765503,0.2006867318797848,0.2006867318797841,Full,12313.0
25558,9124187907,0.03347,0.0020107596482872,0.3446838525757377,0.0251916486123705,0.0251916486123707,Full,12314.0
25559,114517875225866,0.03313,0.0036455482945028,0.3457716895111437,0.0302859966410942,0.0302859966410944,Full,12315.0
25560,165583971161,0.03186,0.0062711182548683,0.3456026253348254,0.0476182011336242,0.0476182011336243,Full,12316.0
25561,22067606728,0.03167,0.165119678536934,0.3418739152507439,0.1802319797265597,0.1802319797265594,Full,12317.0
25562,339226922847416,0.03008,0.0188908499556416,0.344112771690526,0.1171537084414646,0.1171537084414643,Full,12318.0
25563,21785951839,0.02958,0.00224747432199,0.3425580372104422,0.0126992315408286,0.0126992315408288,Full,12319.0
25564,164305410295882,0.02886,0.0070464933921462,0.344396722125723,0.0347493017227355,0.0347493017227357,Full,12320.0
25565,138691142964027,0.02853,0.0455352501786364,0.3411686144937125,0.1459730331342673,0.1459730331342672,Full,12321.0
25566,10643211755,0.0273,0.0023617916609438,0.3433228853486769,0.0230321655265036,0.0230321655265037,Full,12322.0
25567,124955570892789,0.02708,0.0012343999179484,0.3409774880786464,0.0191098728636615,0.0191098728636616,Full,12323.0
25568,5281959998,0.02682,0.0033942523600329,0.3431535197507742,0.0234232360105486,0.0234232360105488,Full,12324.0
25569,62507427296,0.02649,0.0011212595277144,0.3411181575490921,0.020572656800505,0.0205726568005052,Full,12325.0
25570,7938522410,0.02561,0.0086238206380527,0.3437591655384002,0.039497777336104,0.039497777336104,Full,12326.0
25571,112723252096438,0.02549,0.1209274979259277,0.3390280956532613,0.1480062708689075,0.1480062708689075,Full,12327.0
25572,69813760388,0.02501,0.1497889257198122,0.3386717700453783,0.160836135789066,0.1608361357890657,Full,12328.0
25573,908009612563863,0.02497,0.0014717779178984,0.3426758965041667,0.0223774073278398,0.0223774073278399,Full,12329.0
